id,parents,battery,load,dataProbability
2,1,11395.476785333332,10.0,85.0
3,1,7510.413347333334,10.0,100.0
4,1,11388.589447333332,10.0,100.0
5,1,11852.742413333333,10.0,100.0
6,1,11833.394723333333,10.0,100.0
7,2,11389.599683,10.0,100.0
8,1,11839.189378000001,10.0,85.0
9,1,11774.055059333332,10.0,100.0
10,2,11877.069102,10.0,100.0
11,1,11839.941372666668,10.0,100.0
12,2,4057.0747883333333,10.0,100.0
13,1,11873.993840000001,10.0,100.0
14,1,11859.999796000002,10.0,85.0
15,1,11855.840646000002,10.0,100.0
16,1,116867.25168,200.0,100.0
