Run,PacketLoss,EnergyConsumption
0,0.864516,116.500058
1,0.006452,483.449418
2,0.078723,408.50938
3,0.065957,439.342505
4,0.02,456.855073
5,0.018478,435.989868
6,0.08913,383.178879
7,0.1,375.771038
8,0.06129,400.705586
9,0.012903,429.477691
10,0.131579,356.039338
11,0.168817,346.883673
12,0.136957,342.729285
13,0.07234,391.796873
14,0.010638,412.492149
15,0.01383,400.019784
16,0.009574,409.823481
17,0.011957,405.574717
18,0.18587,327.027429
19,0.145161,333.399284
20,0.040426,399.480736
21,0.009677,406.538174
22,0.021277,410.584171
23,0.055914,372.391148
24,0.032609,395.04455
25,0.027957,405.412075
26,0.021505,398.967393
27,0.015385,403.607794
28,0.14086,338.151885
29,0.247312,302.633907
30,0.145161,357.774113
31,0.02043,398.064674
32,0.013043,403.743454
33,0.222826,313.163895
34,0.155435,350.094018
35,0.008696,402.226993
36,0.153261,338.713399
37,0.123656,363.871972
38,0.019355,403.032614
39,0.007609,403.367335
40,0.008696,407.514716
41,0.007609,400.841097
42,0.01413,402.180036
43,0.197826,321.175758
44,0.336264,266.284078
45,0.201075,317.802918
46,0.192473,318.431358
47,0.118681,358.780183
48,0.008696,402.800204
49,0.008602,402.057288
50,0.017204,402.540232
51,0.151613,331.992707
52,0.105435,369.630423
53,0.058065,381.303068
54,0.016304,396.814727
55,0.17033,324.831917
56,0.118478,362.010138
57,0.173626,325.408543
58,0.147312,356.703772
59,0.032609,391.762309
60,0.117391,344.875531
61,0.178495,320.408706
62,0.123656,353.406822
63,0.025,400.93449
64,0.013978,404.746919
65,0.006522,407.097025
66,0.005435,405.230327
67,0.008696,405.94354
68,0.01087,404.142212
69,0.011957,403.838236
70,0.027174,403.265952
71,0.020652,405.340569
72,0.010753,405.646571
73,0.089247,351.152824
74,0.07957,380.141887
75,0.118681,339.28441
76,0.108696,367.584524
77,0.005435,406.315722
78,0.011957,402.560498
79,0.010753,405.707134
80,0.004301,406.769948
81,0.044086,372.377773
82,0.246739,302.571544
83,0.16383,351.196203
84,0.134409,338.874188
85,0.178495,322.860371
86,0.095699,355.310055
87,0.022581,400.993375
88,0.010753,410.440985
89,0.077895,369.680901
90,0.196809,327.032298
91,0.073913,382.865622
92,0.183871,321.939113
93,0.2,316.197523
94,0.081522,380.856953
