Run,PacketLoss,EnergyConsumption
0,0.652688,254.845675
1,0.084946,594.60279
2,0.280851,367.466024
3,0.380851,311.504058
4,0.483158,269.208885
5,0.443478,264.18705
6,0.483871,233.59179
7,0.513978,220.156839
8,0.462366,228.999341
9,0.495745,230.921508
10,0.235106,249.32198
11,0.166667,247.897933
12,0.181522,246.015836
13,0.208511,241.173947
14,0.152688,238.215721
15,0.205435,231.675854
16,0.401075,207.641649
17,0.472826,186.695261
18,0.218085,226.120113
19,0.164516,235.841359
20,0.227957,228.306244
21,0.211828,230.900688
22,0.26129,233.866096
23,0.426882,214.931443
24,0.430108,210.882663
25,0.587097,198.189349
26,0.632609,197.908648
27,0.382609,215.430136
28,0.275,222.56661
29,0.17957,231.339513
30,0.266667,227.532409
31,0.376087,218.179174
32,0.234409,227.950332
33,0.597826,201.508122
34,0.443478,197.728637
35,0.418478,195.187754
36,0.27957,218.394507
37,0.292473,225.483267
38,0.558242,204.662865
39,0.213978,230.522021
40,0.179348,231.657558
41,0.174194,233.547069
42,0.316304,223.006245
43,0.243956,227.08849
44,0.243011,229.838916
45,0.323913,217.398969
46,0.22043,224.947579
47,0.530108,207.496957
48,0.167742,234.59396
49,0.174194,234.08606
50,0.233333,229.255285
51,0.424731,200.133342
52,0.351648,205.519039
53,0.882796,178.380633
54,0.176344,233.490326
55,0.172826,232.622636
56,0.201075,231.801613
57,0.67957,197.079287
58,0.406452,207.39789
59,0.53913,198.08982
60,0.519565,209.429141
61,0.172826,233.134357
62,0.873118,178.044001
63,0.767391,175.953696
64,0.380645,214.367845
65,0.167391,232.780878
66,0.223656,230.174389
67,0.249462,226.314597
68,0.196703,230.128418
69,0.253261,227.355525
70,0.543956,206.832902
71,0.576087,196.411352
72,0.22043,224.636598
73,0.165591,234.286047
74,0.192473,233.065629
75,0.192473,233.250736
76,0.217204,229.683918
77,0.198913,232.438282
78,0.17957,234.67832
79,0.150538,235.828042
80,0.348387,213.151363
81,0.230108,224.107159
82,0.259341,222.928254
83,0.191398,236.096871
84,0.157778,232.991519
85,0.271739,226.385004
86,0.22043,229.96207
87,0.194681,236.809968
88,0.482979,195.302334
89,0.390323,204.829389
90,0.603191,198.561877
91,0.191304,230.443857
92,0.328261,218.658701
93,0.206383,228.577102
94,0.394624,219.82504
