Run,PacketLoss,EnergyConsumption
0,0.865591,115.277904
1,0.132258,516.181368
2,0.137634,495.314544
3,0.394565,359.875551
4,0.243011,428.530958
5,0.374725,357.405428
6,0.510638,295.094087
7,0.233333,415.664307
8,0.312903,378.65702
9,0.176344,435.186534
10,0.324468,369.755533
11,0.205376,410.63026
12,0.380851,338.984668
13,0.52766,273.260228
14,0.312903,348.894395
15,0.148913,420.413127
16,0.435484,305.152572
17,0.219565,385.112331
18,0.120652,430.185268
19,0.124176,426.551981
20,0.183871,404.890873
21,0.134409,427.839157
22,0.348387,338.34332
23,0.214894,399.68786
24,0.510753,280.803105
25,0.232258,384.322517
26,0.12766,438.83982
27,0.155914,416.612161
28,0.248387,380.374134
29,0.141758,418.317319
30,0.357609,334.48324
31,0.177419,407.892645
32,0.205376,395.753143
33,0.134409,432.54261
34,0.14086,420.90933
35,0.206452,397.366586
36,0.293548,359.727435
37,0.263736,370.981761
38,0.148387,426.03198
39,0.296739,355.490019
40,0.15,419.865856
41,0.298913,355.317303
42,0.158696,414.018356
43,0.135165,427.00227
44,0.444086,302.731886
45,0.350538,332.584643
46,0.421978,309.953416
47,0.525806,265.978027
48,0.219355,382.331856
49,0.192473,400.194946
50,0.132609,424.124115
51,0.131522,427.930407
52,0.207527,395.426876
53,0.247312,385.846905
54,0.364516,333.543116
55,0.323656,347.024626
56,0.468817,291.274854
57,0.21828,391.0611
58,0.413978,312.985987
59,0.435484,297.667778
60,0.452747,299.088529
61,0.189247,398.472422
62,0.14086,430.692761
63,0.154839,425.116869
64,0.320652,347.891852
65,0.155435,417.545743
66,0.164516,411.147206
67,0.130108,426.736218
68,0.473913,291.23496
69,0.453846,292.5222
70,0.297802,357.615187
71,0.126882,433.126416
72,0.127174,425.770388
73,0.236957,382.058853
74,0.338043,340.482728
75,0.4,311.503748
76,0.274194,364.535286
77,0.129032,427.582196
78,0.525806,276.654914
79,0.205435,391.2938
80,0.353261,333.371906
81,0.175269,404.240947
82,0.126882,432.286576
83,0.301075,357.168425
84,0.163441,411.563046
85,0.422826,308.610421
86,0.364516,326.248872
87,0.3,358.35775
88,0.451064,299.151695
89,0.194624,398.370866
90,0.143011,427.537092
91,0.134066,425.833904
92,0.119355,432.979756
93,0.127174,426.695515
94,0.332609,347.309609
