Run,PacketLoss,EnergyConsumption
0,0.621739,160.830119
1,0.129787,224.884009
2,0.393617,191.062158
3,0.510989,167.772383
4,0.21383,197.311781
5,0.158696,195.748075
6,0.231183,189.645235
7,0.175556,189.098257
8,0.137634,194.383258
9,0.209677,186.177027
10,0.15914,193.542552
11,0.26383,183.798843
12,0.174194,189.684732
13,0.487234,158.999611
14,0.516304,147.200336
15,0.303226,172.844044
16,0.145161,183.894614
17,0.159783,179.252941
18,0.253763,180.886474
19,0.222826,176.562384
20,0.475269,152.662857
21,0.55914,144.385469
22,0.189362,182.099772
23,0.393617,166.429524
24,0.172043,180.25716
25,0.167391,180.833729
26,0.155914,182.814373
27,0.142391,181.270874
28,0.225806,178.216934
29,0.186957,179.141658
30,0.165217,182.146438
31,0.289247,172.885729
32,0.160215,182.021316
33,0.373118,164.439963
34,0.181522,179.001192
35,0.532258,149.329957
36,0.198913,176.936709
37,0.353261,167.224609
38,0.159783,180.858857
39,0.152688,181.811719
40,0.152174,183.023855
41,0.34086,167.994216
42,0.177419,179.38727
43,0.480645,152.148648
44,0.194624,177.284282
45,0.158065,181.634081
46,0.22967,174.808995
47,0.311828,171.644468
48,0.46413,154.451101
49,0.207692,173.223522
50,0.145161,183.927675
51,0.143478,181.184603
52,0.132258,184.805093
53,0.268478,174.811601
54,0.146237,183.918006
55,0.147312,182.086802
56,0.465591,154.307914
57,0.207609,175.062832
58,0.341304,168.898325
59,0.174194,179.463814
60,0.182796,180.847218
61,0.447312,157.368628
62,0.275824,168.143079
63,0.15914,181.916228
64,0.268817,176.737819
65,0.290323,171.59948
66,0.408602,160.954321
67,0.17957,178.256135
68,0.483871,152.178697
69,0.346739,166.391255
70,0.375269,164.593744
71,0.397826,161.084888
72,0.465934,154.228013
73,0.182609,176.173413
74,0.283871,173.176271
75,0.19011,176.250072
76,0.149462,183.800063
77,0.160215,181.634081
78,0.454348,158.505668
79,0.283696,171.803638
80,0.140217,183.047884
81,0.366667,164.406902
82,0.171277,184.321338
83,0.154839,181.731527
84,0.28172,174.75011
85,0.143478,181.500564
86,0.15914,182.620929
87,0.346809,172.178711
88,0.165591,181.510464
89,0.14,192.183587
90,0.163441,182.375664
91,0.478495,153.404731
92,0.441935,154.031328
93,0.297849,171.546503
94,0.310753,170.75987
