id,parents,battery,load,dataProbability
2,1,11635.455150333335,10.0,85.0
3,1,5446.090344333334,10.0,100.0
4,1,11558.915090333334,10.0,100.0
5,1,11852.050623333334,10.0,100.0
6,1,11832.885492333335,10.0,100.0
7,2,11710.937449333336,10.0,100.0
8,1,11839.215626,10.0,85.0
9,1,11773.363269333335,10.0,100.0
10,2,11876.278960000001,10.0,100.0
11,1,11840.910504,10.0,100.0
12,2,11655.792245666666,10.0,100.0
13,1,11874.894763999999,10.0,100.0
14,1,11858.933664000002,10.0,85.0
15,1,11855.840646000002,10.0,100.0
16,1,116867.25168,200.0,100.0
