id,parents,battery,load,dataProbability
2,1,11632.717870846154,10.0,85.0
3,1,11545.675048410256,10.0,100.0
4,1,4217.855378871795,10.0,100.0
5,1,11851.58901430769,10.0,100.0
6,1,11832.232632153846,10.0,100.0
7,2,11708.71484753846,10.0,100.0
8,1,11838.437420307693,10.0,85.0
9,1,11772.901660307689,10.0,100.0
10,2,11875.768489846154,10.0,100.0
11,1,11839.844354384617,10.0,100.0
12,2,11657.07101874359,10.0,100.0
13,1,11873.936088461542,10.0,100.0
14,1,11859.341517538458,10.0,85.0
15,1,11855.840645999999,10.0,100.0
16,1,116867.25168000009,200.0,100.0
